fullVisitorId,signup_date
280069493586559960,2016-08-09
176479394858352060,2016-08-09
7810653896575544853,2016-08-09
88960000028946459,2016-08-09
466530014670175572,2016-08-09
1251585925983479103,2016-08-09
9145126652366889203,2016-08-10
7361086382092131572,2016-08-10
0498515778405608360,2016-08-10
8560082474559762025,2016-08-09
2154921309315127333,2016-08-09
129947152114097888,2016-08-10
7595314348344596078,2016-08-10
1198167739400837798,2016-08-09
5512353406046456371,2016-08-09
3105507013157154859,2016-08-09
577884442019884942,2016-08-10
726005495944421996,2016-08-09
2225897125911511067,2016-08-09
5512396464567511127,2016-08-09
9817107574306878219,2016-08-09
856821879105834015,2016-08-10
3879877388582593114,2016-08-10
304288278769394355,2016-08-09
9145876457324207564,2016-08-09
8871116043849804201,2016-08-09
7899848001897483873,2016-08-09
004901233792677010,2016-08-09
221889016805265282,2016-08-10
463747530763098347,2016-08-09
5757691526913802399,2016-08-09
5616166328713356998,2016-11-11
9976057531669372747,2016-11-11
788333626693980458,2016-11-11
6785511062991724780,2016-11-11
1856028208024264387,2016-11-10
2240134272498023059,2016-11-12
2371531405482531414,2016-11-12
9867847290017110890,2016-11-11
0172597455722932130,2016-11-12
0422765722889738544,2016-11-11
0563265849109444219,2016-11-11
4286698215201284543,2016-11-11
0582997790353691760,2016-11-11
5943513447865900875,2016-11-12
7325738104054971677,2016-11-11
3991261191250454900,2016-11-12
2569276733964529626,2016-11-12
1774232783987121055,2016-11-11
8195566808719966251,2016-11-11
2869511321330211591,2016-11-11
6099366180727320733,2016-11-12
4970158639472143462,2016-11-11
7436645923846147111,2016-11-11
2050047835624549589,2016-11-11
5916596331849542837,2016-11-11
6492177805881312919,2016-11-11
841582242835662631,2016-11-11
6848884260771878622,2016-11-11
1212041046500013533,2016-11-12
3129406814761356980,2016-11-11
3874343814311375572,2016-11-11
4152414792809180622,2016-11-11
6033776473330996956,2016-11-11
406112945081831304,2016-11-11
53090837822398911,2016-10-30
5607084752593354015,2016-11-11
9568535560302769401,2016-10-05
5821584245819586148,2016-11-11
4720107878770926941,2016-11-12
3447659347235330774,2016-11-11
9141196145261868980,2016-11-11
8652083602056619110,2016-11-11
0079917201616344060,2016-11-11
3314078934362419068,2016-11-11
6820541015414351498,2016-11-11
4643636995777371575,2016-11-11
1898776012200391939,2016-11-11
0893535050385145968,2016-11-11
8375804073688058238,2016-11-11
8373457039558359725,2016-11-11
4024022831053115672,2016-11-11
1714204099236709836,2016-11-11
6198806437811693808,2016-11-12
2023127065399014803,2016-11-11
3599364212554908235,2016-11-11
7589652169057441537,2016-11-12
8667826363063963350,2016-11-11
0457976955156737737,2016-11-11
272480486878183901,2016-11-11
